MaxDiff, Percentage
0.8029999999999999, 67.8%
0.8039999999999999, 67.8%
0.8049999999999999, 67.8%
0.8059999999999999, 67.8%
0.8069999999999999, 67.8%
0.8079999999999999, 67.8%
0.8089999999999999, 67.8%
0.8099999999999999, 67.8%
0.8109999999999999, 67.8%
0.8119999999999999, 67.8%
0.813, 67.8%
0.814, 67.8%
0.815, 67.8%
0.816, 67.8%
0.817, 67.8%
0.818, 67.8%
0.819, 67.8%
0.82, 67.8%
0.821, 67.8%
0.822, 67.8%
0.823, 67.8%
0.824, 67.8%
0.825, 67.8%
0.826, 67.8%
0.827, 67.8%
0.828, 67.8%
0.829, 67.8%
0.83, 67.8%
0.831, 67.8%
0.832, 67.8%
0.833, 67.8%
0.834, 67.8%
0.835, 67.8%
0.836, 67.8%
0.837, 67.8%
0.838, 67.8%
0.839, 67.8%
0.84, 67.8%
0.841, 67.8%
0.842, 67.8%
0.843, 67.8%
0.844, 67.8%
0.845, 67.8%
0.846, 67.8%
0.847, 67.8%
0.848, 67.8%
0.849, 67.8%
0.85, 67.8%
0.851, 67.8%
0.852, 67.8%
0.853, 67.8%
0.854, 67.8%
0.855, 67.8%
0.856, 67.8%
0.857, 67.8%
0.858, 67.8%
0.859, 67.8%
0.86, 67.8%
0.861, 67.8%
0.862, 67.8%
0.863, 67.8%
0.864, 67.8%
0.865, 67.8%
0.866, 67.8%
0.867, 67.8%
0.868, 67.8%
0.869, 67.8%
0.87, 67.8%
0.871, 67.8%
0.872, 67.8%
0.873, 67.8%
0.874, 67.8%
0.875, 67.8%
0.876, 67.8%
0.877, 67.8%
0.878, 67.8%
0.879, 67.8%
0.88, 67.8%
0.881, 67.8%
0.882, 67.8%
0.883, 67.8%
0.884, 67.8%
0.885, 67.8%
0.886, 67.8%
0.887, 67.8%
0.888, 67.8%
0.889, 67.8%
0.89, 67.8%
0.891, 67.8%
0.892, 67.8%
0.893, 67.8%
0.894, 67.8%
0.895, 67.8%
0.896, 67.8%
0.897, 67.8%
0.898, 67.8%
0.899, 67.8%
